ID,Example_ID,Language_ID,Text_ID,Original_Primary_Text,Primary_Text,Analyzed_Word,Analyzed_Word_Morphemes,Gloss,Part_Of_Speech,Original_Translated_Text,Translated_Text,Comment,Pattern,Discontinuous,Intervening,Animacy,Type,Order,Argument,Role,Positions,Value,Particle,Genre,Source
dados-09-kereramake-p-043-278,dados-09-kereramake-p-043-278,tri,dados-09-kereramake,,(Ape) Wëën... mëërë teetainkae tamutupë.,Ape	wëën	**mëërë**	t-V:-etainka-e	**tamutupë**,Ape   wëën    mëërë  t-   w-   etainka -se     tamutupë,Ape	run	3AnMd	Pst-Sa-run-Pst	old.man,N	Ideo	DPro	V	N	,,"(Ape) /wëën/... that one ran, the old man (= i.e. Përëpërëwa).  ",[*mëërë*] V [tamutupë],DEM Vi N,True,Vi,hum,DEM+N,DEM N,False,s,"3,5",y,,story,meiraDBtrio
dados-09-kereramake-p-045-323,dados-09-kereramake-p-045-323,tri,dados-09-kereramake,,(Ape) Ëwë aamuurëtoo=me mëërë=ja kaikë=ja.,Ape	ëwë	0-aamuurë-too	me	**mëërë**	ja	**kaikë**	ja,Ape   ëwë   0-   aamuurë -topo me   mëërë  ja  kaikë ja,Ape	later	3-harass-Circ	Ess	3AnMd	Agt	fox	Agt,N	A	N	Ptc	DPro	Pp	N	Pp	,,(Ape) (They were) later to be harassed by the fox.,[mëërë *ja*] [kaike *ja*],N POSP N POSP,True,POSP,anim,N+N,N N,True,a,"5,7",posp,,story,meiraDBtrio
dados-09-kereramake-p-045-324,dados-09-kereramake-p-045-324,tri,dados-09-kereramake,,(Ape) Nërë=ja tënëtoo=me mëërë wërinpë.,Ape	nërë	ja	t-ënë-too	me	**mëërë**	**wëri-npë**,Ape   nërë   ja  t-   ënë      -topo me   mëërë  wëri  -npë,Ape	3AnAna	Agt	Gen-eat.meat-Circ	Ess	3AnMd	woman-Pst,N	Pro	Pp	N	Ptc	DPro	N	,,(Ape) The woman (is to) be eaten by him.,,DEM N,False,,hum,DEM+N,DEM N,False,s_nvp,"6,7",np,,story,meiraDBtrio
dados-07-frog-story-marciano-p-093-096,dados-07-frog-story-marciano-p-093-096,tri,dados-07-frog-story-marciano,,"Mëesamo=inëërë përëru=ton tïwëtakaase=ken,",**mëesamo**	inëërë	**përëru**	ton	tï-w-ët-akaa-se	ken,mëesamo  inëërë     përëru  tomo  t-   w-   ët-   akapï        -se  kene,3AnPxCl	really	toad.sp	Col	Pst-Sa-Detr-put.in.order-Pst	Cont,DPro	Ptc	N	Ptc	A	Ptc	,,"It's them, the frogs, they're forming a line,  ",[*mëesamo inëërë*] [*përëru ton*],DEM PART N PART,True,PART,anim,DEM+N,DEM N,False,s,"1,3",part,inëërë,stimulus-story,meiraDBtrio
dados-09-kereramake-p-037-179,dados-09-kereramake-p-037-179,tri,dados-09-kereramake,,"(Ape) Nka anpo=na aakoron tïïkae, nëërë tamutupë, anpo=na aakoron?",Ape	nka	anpo	n-a	V:-akoron	tï-V:-ka-e	**nërë**	rë	**tamutupë**	anpo	n-a	V:-akoron,Ape   nka  anpo  n-   a   ë-   akoronï   t-   w-   ka  -se   nërë   rë   tamutupë   anpo  n-   a   ë-   akoronï,Ape	?	where	3Sa-Cop	2-companion	Pst-Sa-say-Pst	3AnAna	Idtf	old.man	where	3Sa-Cop	2-companion,N	Ptc	Intrg	V	N	V	Pro	Ptc	N	Intrg	V	N	,,"(Ape) 'So, where is your companion?' (he) said, he, the old man, 'where is your companion?'",[*nërë rë*] [*tamutupë*],DEM PART N,True,PART,hum,DEM+N,DEM N,False,s,"7,9",part,rë,story,meiraDBtrio
dados-09-kereramake-p-043-304,dados-09-kereramake-p-043-304,tri,dados-09-kereramake,,(Ape) Ohkë tïïkae ohkë nari=ke=ta ehkë ëtamïïsewa serë wëitapi tïïkae.,Ape	oh-kë	tï-V:-ka-e	oh-kë	nari	ke	ta	eh-kë	ët-amïï-sewa	**serë**	**wëitapi**	tï-V:-ka-e,Ape   ëepï -kë    t-   w-   ka  -se  ëepï -kë    nari ke   taike ei  -kë    ët-   amïtï -sewa serë wëitapi t-   w-   ka  -se,Ape	come-Imper	Pst-Sa-say-Pst	come-Imper	fear	Inst	Neg	Cop-Imper	Detr-break-Neg	3InPx	hammock	Pst-Sa-say-Pst,N	V	V	V	N	Ptc	Ptc	V	V	DPro	N	V	,,"(Ape) 'Come,' (she) said, 'come, don't be afraid, this won't break/snap, the hammock,' (she) said.  ",,DEM N,False,,inan,DEM+N,DEM N,False,s,"10,11",np,,story,meiraDBtrio
dados-09-kereramake-p-047-354,dados-09-kereramake-p-047-354,tri,dados-09-kereramake,,"(Ape) Eeke=nai mëe jipïtï? tïïkae sera, atïtoome=nai mïra ijomirï? tïïkae.",Ape	eeke	n-ai	**mëe**	**ji-pïtï**	tï-V:-ka-e	sera	atïtoome	n-ai	mïra	i-jomi-rï	tï-V:-ka-e,Ape   eeke  n-   a   mëe   j-   pïtï t-   w-   ka  -se  sera      atïtoome n-   a mïra      i-   omi  -rï   t-   w-   ka  -se,Ape	how	3Sa-Cop	3AnPx	1-wife	Pst-Sa-say-Pst	like.this	why	3Sa-Cop	like.that	3-talk-Psfx	Pst-Sa-say-Pst,N	Intrg	V	DPro	N	V	A	Intrg	V	A	N	V	,,"(Ape) 'How is my wife?' (= 'What's with her?') he said, like this, 'why is her talk like that?' (= 'why is she talking funny?'), he said.  ",,DEM N,False,,hum,DEM+N,DEM N,False,s_nvp,"4,5",np,,story,meiraDBtrio
dados-09-kereramake-p-047-363,dados-09-kereramake-p-047-363,tri,dados-09-kereramake,,(Ape) sera=taa=san=nai jipïtï anpo=nai mëe inmukuru mëesan=nai ijapo=taike.,Ape	sera	taa	san	n-ai	ji-pïtï	anpo	n-ai	mëe	i-nmuku-ru	mëesan	n-ai	i-japo	taike,Ape   sera      taike san  n-   a     j-   pïtï anpo  n-   a   mëe   i-   nmuku -rï mëesamo n-   a   i-   apo  taike,Ape	like.this	Neg	?	3Sa-Cop	1-wife	where	3Sa-Cop	3AnPx	3-son-Psfx	3AnPxCl	3Sa-Cop	3-like	Neg,N	A	Ptc	Ptc	V	N	Intrg	V	DPro	N	DPro	V	Pp	Ptc	,,"(Ape) 'they are not like this, my wife, where is she, this one, her son, they aren't like this' ",Maybe disfluent?,,,,,,,,,,X,,story,meiraDBtrio
dados-09-kereramake-p-047-374,dados-09-kereramake-p-047-374,tri,dados-09-kereramake,,"(Ape) Irë=mao tënepiitae, mëërë=ja turëe, werekeru=ja.",Ape	irë	mao	t-ënepiita-e	mëërë	ja	t-urë-e	werekeru	ja,Ape   irë    mao     t-   enepiita -se  mëërë ja   t-   uru     -se  werekeru    ja,Ape	3InAna	at.time	Pst-be.bored-Pst	3AnMd	Agt	Pst-talk.to-Pst	parakeet.sp	Agt,N	Pro	Pp	V	DPro	Pp	V	N	Pp	,,"(Ape) Then he became tired of it, and that one talked to him, werekeru.",Good illustration of the importance of commas.,,,,,,,,,,n,,story,meiraDBtrio
dados-09-kereramake-p-049-387,dados-09-kereramake-p-049-387,tri,dados-09-kereramake,,"(Ape) Mëe inë ënmuku ëenuumane=npa tïïkae, mërë innapï apëhkë irëme, tïrëe iija, toron.",Ape	mëe	0-inë-0	ë-nmuku-0	ë-enuuma-ne	npa	tï-V:-ka-e	mërë	i-nnapï	0-apëh-kë	irëme	tï-rë-e	i-:ja	toron,Ape   mëe   0-   inë     -kë    ë-   nmuku -rï   ë-   enuuma  -ne  npa t-   w-   ka  -se mërë  i-   nnapï      0-   apëi -kë    irëme  t-   rï   -se  i-   ja  toron,Ape	3AnPx	3-abandon-Imper	2-son-Psfx	2-disturb-A	?	Pst-Sa-say-Pst	3InMd	3-fruit.food	3-get-Imper	so	Pst-make-Pst	3-Agt	put,N	DPro	V	N	N	Ptc	V	DPro	N	V	Ptc	V	Pp	Ideo	,,"(Ape) 'Leave this one here, your son, he would disturb you,' he said, 'get that, his food', then, he put it (down), /toron/.",Another good illustration of the importance of commas -- the two distinct clauses have none in between.,,,,,,,,,,n,,story,meiraDBtrio
dados-09-kereramake-p-049-392,dados-09-kereramake-p-049-392,tri,dados-09-kereramake,,"(Ape) mëërë=se=manan, tïïkae, tarïpi=se=manan mëërë tïïkae.",Ape	mëërë	se	man-a-n	tï-V:-ka-e	**tarïpi**	se	man-a-n	**mëërë**	tï-V:-ka-e,Ape   mëërë se    man- a   -në  t-   w-   ka  -se  tarïpi se    man- a   -në  mëërë t-   w-   ka  -se,Ape	3AnMd	Desid	2Sa-Cop-Dbt	Pst-Sa-say-Pst	prego	Desid	2Sa-Cop-Dbt	3AnMd	Pst-Sa-say-Pst,N	DPro	Pp	V	V	N	Pp	V	DPro	V	,,"(Ape) 'Do you want that one?' he said, 'do you want some monkey, that one?' he said.  ",[*tarïpi*] *se manan* [*mëërë*],N POSP Vi DEM,True,multiple,anim,DEM+N,N DEM,True,obl,"6,9",y,,story,meiraDBtrio
dados-09-kereramake-p-049-415,dados-09-kereramake-p-049-415,tri,dados-09-kereramake,,(Ape) Mëe=marë inmukuhpë ijapo=ro=pa tïïkae.,Ape	**mëe**	marë	**i-nmuku-hpë**	i-japo	ro	pa	tï-V:-ka-e,Ape   mëe   marë i-   nmuku -hpë   i-   apo  rë   pa  t-   w-   ka  -se,Ape	3AnPx	too	3-son-P.pst	3-like	Idtf	Rpt	Pst-Sa-say-Pst,N	DPro	Ptc	N	Pp	Ptc	Ptc	V	,,"(Ape) 'And this one also, my son, just like her (he was killed),' he said.  ",[*mëe marë*] [*inmukuhpë*] -- part of speech?,DEM PART N,True,PART,hum,DEM+N,DEM N,False,obl,"2,4",part,marë,story,meiraDBtrio
dados-09-kereramake-p-051-442,dados-09-kereramake-p-051-442,tri,dados-09-kereramake,,"(Ape) Irëme aerën=me tïïtëe, mono tuna, teese, nkan=to, tïponopï, ",Ape	irëme	aerë-n	me	tï-V:-të-e	mono	tuna	t-0-ee-se	n-ka-0-n	to	tï-ponopï-0,Ape   irëme aerë -no  me   t-   w-   të -se  mono tuna  t-   w-   ei  -se n-   ka  -ja   -në  toto t-   ponopï -0,Ape	so	true-Ent	Ess	Pst-Sa-go-Pst	big	water	Pst-Sa-Cop-Pst	3Sa-say-Pres-Dbt	3pl	Nzr-tell-G,N	Ptc	N	Ptc	V	N	N	V	V	Ptc	N	,,"(Ape) Then he really went, the river was high, they say.",'the river was big’,,,,,,,,,,n,,story,meiraDBtrio
dados-09-kereramake-p-051-443,dados-09-kereramake-p-051-443,tri,dados-09-kereramake,,"(Ape) teese tuna mono teese irë=mao=rë, waraku eeku mono, mono tuna teese kato tïponopï serë,",Ape	t-0-ee-se	tuna	mono	t-0-ee-se	irë	mao	rë	waraku	0-eeku	mono	mono	tuna	t-0-ee-se	ka-to	tï-ponopï-0	serë,Ape   t-   w-   ei  -se  tuna  mono t-   w-   ei  -se  irë    mao     rë   waraku  0-   eeku   mono  mono tuna  t-   w-   ei  -se   ka  -topo t-   ponopï -0   serë,Ape	Pst-Sa-Cop-Pst	water	big	Pst-Sa-Cop-Pst	3InAna	at.time	Idtf	fish.sp	3-stream	big	big	water	Pst-Sa-Cop-Pst	say-Circ	Nzr-tell-G	3InPx,N	V	N	N	V	Pro	Pp	Ptc	N	N	N	N	N	V	N	N	DPro	,,"(Ape) the river had become big, at that time, Waraku's river was big, the river had risen, this is the telling,",tuna mono,,,,,,,,,,n,,story,meiraDBtrio
dados-09-kereramake-p-053-455,dados-09-kereramake-p-053-455,tri,dados-09-kereramake,,"(Ape) Tïwërëno=ro ijuuwë teese mërë toro,",Ape	tïwërë-no	ro	i-juuwë	t-0-ee-se	mërë	toron,Ape   tïwërë -no  rë   i-   juuwë t-   w-   ei  -se  mërë  toron,Ape	other-Ent	Idtf	3-on	Pst-Sa-Cop-Pst	3InMd	go.up,N	N	Ptc	Pp	V	DPro	Ideo	,,"(Ape) Another one was on top of it, /toro/,",Inflected postposition *i-juuwë* and *mërë*? We don’t know what *mërë* refers to...,,,,,,,,,,X,,story,meiraDBtrio
data-01-yakari-01-p-127-022,data-01-yakari-01-p-127-022,tri,data-01-yakari,,Ma... Mono weine kïrïmuku irënehka.,ma	**mono**	w-ei-ne	**kïrïmuku**	irënehka,ma    mono  w-   ei  -ne   kïrïmuku  irënehka,Attn	big	1Sa-Cop-DPst	young.man	finally,Ptc	N	V	N	Ptc	,,"Well... I finally grew up, I became a young man.  ",[*mono*] V [*kïrïmuku*],N Vi N,True,Vi,hum,N+N,N N,False,s,"2,4",y,,personal-story,meiraDBtrio
data-01-yakari-01-p-127-025,data-01-yakari-01-p-127-025,tri,data-01-yakari,,"ma, mëe wëri=se=wae, wïkane,",ma	**mëe**	**wëri**	se	w-a-e	wï-ka-ne,ma   mëe    wëri  se    w-   a   -e   w-   ka  -ne,Attn	3AnPx	woman	Desid	1Sa-Cop-Cty	1Sa-say-DPst,Ptc	DPro	N	Pp	V	V	,,"'well, I want this woman,' I said,  ",DEM NP *se*!,DEM N POSP,False,,hum,DEM+N,DEM N,True,obl,"2,3",np_arg,,personal-story,meiraDBtrio
mini-disc-lsmtam13set0001-marciano-little-introduction-003,mini-disc-lsmtam13set0001-marciano-little-introduction-003,tri,mini-disc-lsmtam13set0001-marciano-little-introduction,,"Ma, jijomii=tae=rë jeka tarëno=tae nai, Minausi , irë apo. Meta?",ma	**ji-jomi-V:**	tae	rë	j-eka-0	**tarëno**	tae	n-ai	Minausi	irë	apo	m-eta-0,ma   j-   omi      -rï   tae rë   j-   eka  -rï   tarëno tae  n-   a   Minausi   irë     apo  m-   eta  -0,Attn	1-language-Psfx	by	Idtf	1-name-Psfx	Tiriyó	by	3Sa-Cop	Minausi	3InAna	like	2A-hear-I.Pst,Ptc	N	Pp	Ptc	N	N	Pp	V	N	Pro	Pp	V	,,"Well, in my own language my name, in (the language of the) Tiriyó, it is, Minausi, like this. OK? (= Did you hear?).  ",[*jijomii tae*] ... [*tarëno tae*],N POSP n PART N POSP,True,multiple,inan,N+N,N N,True,obl,"2,6",posp,,personal-story,meiraDBtrio
mini-disc-lsmtam13set0001-marciano-little-introduction-004,mini-disc-lsmtam13set0001-marciano-little-introduction-004,tri,mini-disc-lsmtam13set0001-marciano-little-introduction,,Irëme anja oroko=me nai menjaarë ëtakëërë mëe=marë Sesu=marë.,irëme	anja	oroko	me	n-ai	menjaarë	ët-akëërë	**mëe**	marë	**Sesu**	marë,irëme  anja  oroko me   n-   a   menjaarë  ët-   akëërë  mëe   marë  Sesu   marë,so	1+3	work	Ess	3Sa-Cop	now	Recp-with	3AnPx	with	Sérgio	with,Ptc	Pro	N	Ptc	V	A	Pp	DPro	Ptc	N	Ptc	,,"So we're now working together,",[*mëe marë*] [*Sesu marë*] -- part of speech?,DEM PART N PART,True,PART,hum,DEM+N,DEM N,False,obl,"8,10",part,marë,personal-story,meiraDBtrio
mini-disc-lsmtam13set0001-marciano-little-introduction-005,mini-disc-lsmtam13set0001-marciano-little-introduction-005,tri,mini-disc-lsmtam13set0001-marciano-little-introduction,,Serë=pë panpira=pë anja=nai oroko=me. Meta? Ir=apo.,**serë**	pë	**panpira**	pë	anja	n-ai	oroko	me	m-eta-0	irë	apo,serë  pëkë  panpira pëkë  anja n-   a   oroko me    m-   eta  -0     irë    apo,3InPx	about	book	about	1+3	3Sa-Cop	work	Ess	2A-hear-I.Pst	3InAna	like,DPro	Pp	N	Pp	Pro	V	N	Ptc	V	Pro	Pp	,,"We're now working about this, about this book/paper (= i.e. we're writing something). Did you hear? That's it.  ",[*serë pë*] [*panpira pë*],DEM POSP N POSP,True,POSP,inan,DEM+N,DEM N,True,obl,"1,3",posp,,personal-story,meiraDBtrio
minidisc-xxx-mukusa-nasau-sep-2000-004,minidisc-xxx-mukusa-nasau-sep-2000-004,tri,minidisc-xxx-mukusa-nasau-sep-2000,,(Nasau) Wepekatï=irë pananakiri=ton otï këpëewa kotï=komo=se=rëkene=re wei... irë=se wei.,Nasau	w-epekatï-0	irë	pananakiri	ton	0-otï	këpëewa	k-otï	komo	se	rëkene	re	w-ei-0	irë	se	w-ei-0,Nasau   w-   epekatï -0     irë    pananakiri tomo 0-   otï       këpëewa   k-   otï       komo  se    rëkene repe w-   ei  -0 irë    se    w-   ei  -0,Nasau	1A-trade-I.Pst	3InAna	foreigner	Col	3-meat.food	but	1+2-meat.food	P.col	Desid	only	Frus	1Sa-Cop-I.Pst	3InAna	Desid	1Sa-Cop-I.Pst,N	V	Pro	N	Ptc	N	Ptc	N	Ptc	Pp	Ptc	Ptc	V	Pro	Pp	V	,,"(Nasau) I've already sold/given it as meat for the foreigners, but I want (another cow) for our food, that's what I want.",What is the argument structure here?,,,,,,,,,,n,,conversation,meiraDBtrio
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-020,minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-020,tri,minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000,,"Ëwë serë akoron=tao, mono=me nëturutan tarëno.",ëwë	**serë**	**0-akoron**	**tao**	mono	me	n-ëturu-ta-n	tarëno,ëwë   serë  0-   akoronï tao mono me    n-   ëturu -ta  -në  tarëno,later	3InPx	3-other	Loc	big	Ess	3Sa-talk-Fut-Dbt	Tiriyó,A	DPro	N	Pp	N	Ptc	V	N	,,"'Later the other one like this (= meeting), the Tiriyó/Indians will talk a lot.'",DEM NP POSTP!,DEM N POSP,False,,inan,DEM+N,DEM N,True,obl,"2,3,4",np_arg,,personal-story,meiraDBtrio
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-039,minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-039,tri,minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000,,"(Nasau) Mararija epi=ton=pë, tïwërëno=ro kïnëturu, tïpataa=pë,",	mararija	0-epi	ton	pë	tïwërë-no	ro	kïn-ëturu	tï-pata-V:	pë,         mararija 0-   epitï    tomo pëkë  tïwërë -no  rë   kïn-     ëturu t-   pata    -rï   pëkë,	malaria	3-medicine	Col	about	other-Ent	Idtf	3Dpst-talk	3r-village-Psfx	about,	N	N	Ptc	Pp	N	Ptc	V	N	Pp	,,"About malaria medicine(s), another (person) talked, about his/her own village,  ",good example of possr possm part postp,,,,,,,,,,n,,personal-story,meiraDBtrio
minidisc-xxx-torohpe-iwehtoponpe-002,minidisc-xxx-torohpe-iwehtoponpe-002,tri,minidisc-xxx-torohpe-iwehtoponpe,,"Ma, irëme wëene, ipërih=tae anja eekuhpë, ahn..., atï irë, Kuruni.",ma	irëme	w-ëe-ne	**ipërih**	tae	**anja**	**0-eeku-hpë**	…	atï	irë	Kuruni,ma   irëme  w-   ëepï -ne   ipërii tae   anja 0-   eeku   -hpë   ***     atï   irë    Kuruni,Attn	so	1Sa-come-DPst	creek	along	1+3	3-stream-P.pst	…	wh.In	3InAna	Kuruni,Ptc	Ptc	V	N	Pp	Pro	N		Intrg	Pro	N	,,"Well, then I came, along the creeks/tribuaries, our old river... what-do-you-call-it, the Kuruni (Coeroeni).  ",[*ipërih tae*] [*anja eekuhpë*] -- interesting postpositional behavior,N POSP pro N,True,multiple,inan,N+N,N N,True,obl,"4,6,7",posp,,personal-story,meiraDBtrio
dados-07-frog-story-marciano-p-089-007,dados-07-frog-story-marciano-p-089-007,tri,dados-07-frog-story-marciano,,"Nëënïïjan=ken mëepisi, kïrïpisi mëe mëe=rë mëe, menen?",n-ëënïï-ja-n	ken	mëe-pisi	kïrï-pisi	mëe	mëe	rë	mëe	m-ene-0-n,n-   ëënïkï -ja   -në  kene mëe   -pisikë kïrï -pisikë mëe   mëe   rë   mëe   m-   ene -ja   -në,3Sa-sleep-Pres-Dbt	Cont	3AnPx-Dim	man-Dim	3AnPx	3AnPx	Idtf	3AnPx	2A-see-Pres-Dbt,V	Ptc	DPro	N	DPro	DPro	Ptc	DPro	V	,,"This little one is sleeping, this is the little man (= boy), this is him, do you see?  ","according to the translation, there is a missing comma",,,,,,,,,,n,,stimulus-story,meiraDBtrio
